detail_id,OCC_TITLE,total_emp,a_mean,a_median,h_mean,h_median,broad_id
111011,Chief Executives,223260,194350,181210,93.44,87.12,111010
111021,General and Operations Managers,2188870,122090,99310,58.70,47.74,111020
111031,Legislators,53670,44820,23470,,,111030
112011,Advertising and Promotions Managers,28860,117810,100810,56.64,48.47,112010
112021,Marketing Managers,205900,144140,131180,69.30,63.07,112020
112022,Sales Managers,365230,135090,117960,64.95,56.71,112020
112031,Public Relations and Fundraising Managers,63970,123360,107320,59.31,51.59,112030
113011,Administrative Services Managers,266280,98930,90050,47.56,43.29,113010
113021,Computer and Information Systems Managers,352510,145740,135800,70.07,65.29,113020
113031,Financial Managers,543300,139720,121750,67.17,58.54,113030
113051,Industrial Production Managers,168400,107060,97140,51.47,46.70,113050
113061,Purchasing Managers,71750,117720,111590,56.60,53.65,113060
113071,"Transportation, Storage, and Distribution Managers",113270,97630,89190,46.94,42.88,113070
113111,Compensation and Benefits Managers,15230,126900,116240,61.01,55.89,113110
113121,Human Resources Managers,129810,120210,106910,57.79,51.40,113120
113131,Training and Development Managers,32880,115180,105830,55.37,50.88,113130
119013,"Farmers, Ranchers, and Other Agricultural Managers",4560,75790,66360,36.44,31.91,119010
119021,Construction Managers,249650,99510,89300,47.84,42.93,119020
119031,"Education Administrators, Preschool and Childcare Center/Program",48530,52150,45790,25.07,22.01,119030
119032,"Education Administrators, Elementary and Secondary School",242970,95390,92510,,,119030
119033,"Education Administrators, Postsecondary",138430,105770,90760,50.85,43.63,119030
119039,"Education Administrators, All Other",34140,84400,78210,40.58,37.60,119030
119041,Architectural and Engineering Managers,178390,143870,134730,69.17,64.78,119040
119051,Food Service Managers,201470,56010,50820,26.93,24.43,119050
119061,Funeral Service Managers,8370,88970,73830,42.78,35.50,119060
119071,Gaming Managers,4280,79690,69180,38.31,33.26,119070
119081,Lodging Managers,35410,59410,51840,28.56,24.93,119080
119111,Medical and Health Services Managers,332150,109370,96540,52.58,46.41,119110
119121,Natural Sciences Managers,54780,136150,119850,65.46,57.62,119120
119131,Postmasters and Mail Superintendents,14720,71980,71670,34.61,34.45,119130
119141,"Property, Real Estate, and Community Association Managers",180290,70290,57040,33.79,27.42,119140
119151,Social and Community Service Managers,126230,70870,64680,34.07,31.10,119150
119161,Emergency Management Directors,9570,78060,70500,37.53,33.89,119160
119199,"Managers, All Other",403670,112150,104970,53.92,50.47,119190
131011,"Agents and Business Managers of Artists, Performers, and Athletes",13470,86560,62080,41.62,29.85,131010
131021,"Buyers and Purchasing Agents, Farm Products",11490,63910,58430,30.73,28.09,131020
131022,"Wholesale and Retail Buyers, Except Farm Products",109440,60040,53340,28.87,25.65,131020
131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",297600,67420,63300,32.41,30.43,131020
131031,"Claims Adjusters, Examiners, and Investigators",274420,64990,63680,31.24,30.62,131030
131032,"Insurance Appraisers, Auto Damage",15130,65930,63510,31.70,30.53,131030
131041,Compliance Officers,273910,70250,66540,33.77,31.99,131040
131051,Cost Estimators,214610,66620,61790,32.03,29.71,131050
131071,Human Resources Specialists,524800,64890,59180,31.20,28.45,131070
131074,Farm Labor Contractors,810,47290,35160,22.74,16.90,131070
131075,Labor Relations Specialists,79430,64250,62310,30.89,29.96,131070
131081,Logisticians,146060,77810,74170,37.41,35.66,131080
131111,Management Analysts,637690,91910,81330,44.19,39.10,131110
131121,"Meeting, Convention, and Event Planners",95850,52020,47350,25.01,22.76,131120
131131,Fundraisers,68910,57930,54130,27.85,26.02,131130
131141,"Compensation, Benefits, and Job Analysis Specialists",79190,66490,62080,31.97,29.85,131140
131151,Training and Development Specialists,269710,63350,59020,30.46,28.37,131150
131161,Market Research Analysts and Marketing Specialists,558630,70620,62560,33.95,30.08,131160
131199,"Business Operations Specialists, All Other",958670,74870,69040,35.99,33.19,131190
132011,Accountants and Auditors,1246540,76730,68150,36.89,32.76,132010
132021,Appraisers and Assessors of Real Estate,60770,58030,51850,27.90,24.93,132020
132031,Budget Analysts,54700,77170,73840,37.10,35.50,132030
132041,Credit Analysts,72930,81160,69930,39.02,33.62,132040
132051,Financial Analysts,281610,97640,81760,46.94,39.31,132050
132052,Personal Financial Advisors,201850,123100,90530,59.18,43.53,132050
132053,Insurance Underwriters,91650,75480,67680,36.29,32.54,132050
132061,Financial Examiners,49750,88940,79280,42.76,38.11,132060
132071,Credit Counselors,34110,49480,44380,23.79,21.34,132070
132072,Loan Officers,305700,76260,63650,36.67,30.60,132070
132081,"Tax Examiners and Collectors, and Revenue Agents",58450,57950,52060,27.86,25.03,132080
132082,Tax Preparers,70030,45340,36550,21.80,17.57,132080
132099,"Financial Specialists, All Other",123270,76230,69470,36.65,33.40,132090
151111,Computer and Information Research Scientists,26580,116320,111840,55.92,53.77,151110
151121,Computer Systems Analysts,568960,91620,87220,44.05,41.93,151120
151122,Information Security Analysts,96870,96040,92600,46.17,44.52,151120
151131,Computer Programmers,271200,85180,79840,40.95,38.39,151130
151132,"Software Developers, Applications",794000,104300,100080,50.14,48.12,151130
151133,"Software Developers, Systems Software",409820,110590,106860,53.17,51.38,151130
151134,Web Developers,129540,72150,66130,34.69,31.79,151130
151141,Database Administrators,113730,87130,84950,41.89,40.84,151140
151142,Network and Computer Systems Administrators,376820,84500,79700,40.63,38.32,151140
151143,Computer Network Architects,157070,104240,101210,50.12,48.66,151140
151151,Computer User Support Specialists,602840,53100,49390,25.53,23.74,151150
151152,Computer Network Support Specialists,188740,67770,62670,32.58,30.13,151150
151199,"Computer Occupations, All Other",261210,88880,86510,42.73,41.59,151190
152011,Actuaries,19940,114120,100610,54.87,48.37,152010
152021,Mathematicians,2730,105600,105810,50.77,50.87,152020
152031,Operations Research Analysts,109150,84340,79200,40.55,38.08,152030
152041,Statisticians,33440,85160,80500,40.94,38.70,152040
152091,Mathematical Technicians,510,58490,49660,28.12,23.87,152090
152099,"Mathematical Science Occupations, All Other",2000,77550,65050,37.28,31.27,152090
171011,"Architects, Except Landscape and Naval",99860,84470,76930,40.61,36.99,171010
171012,Landscape Architects,19420,68820,63480,33.08,30.52,171010
171021,Cartographers and Photogrammetrists,12100,66160,62750,31.81,30.17,171020
171022,Surveyors,43340,63480,59390,30.52,28.56,171020
172011,Aerospace Engineers,68510,112010,109650,53.85,52.72,172010
172021,Agricultural Engineers,1980,77330,73640,37.18,35.40,172020
172031,Biomedical Engineers,20590,89970,85620,43.25,41.16,172030
172041,Chemical Engineers,31990,105420,98340,50.68,47.28,172040
172051,Civil Engineers,287800,89730,83540,43.14,40.16,172050
172061,Computer Hardware Engineers,72950,118700,115080,57.07,55.33,172060
172071,Electrical Engineers,183770,98620,94210,47.41,45.29,172070
172072,"Electronics Engineers, Except Computer",132100,103760,99210,49.89,47.70,172070
172081,Environmental Engineers,52280,88530,84890,42.56,40.81,172080
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",25410,90190,86720,43.36,41.69,172110
172112,Industrial Engineers,256550,88530,84310,42.56,40.53,172110
172121,Marine Engineers and Naval Architects,8120,99860,93350,48.01,44.88,172120
172131,Materials Engineers,26800,97050,93310,46.66,44.86,172130
172141,Mechanical Engineers,285790,89800,84190,43.17,40.48,172140
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",6940,103010,93720,49.52,45.06,172150
172161,Nuclear Engineers,17680,105950,102220,50.94,49.14,172160
172171,Petroleum Engineers,32780,147030,128230,70.69,61.65,172170
172199,"Engineers, All Other",123390,99250,97300,47.71,46.78,172190
173011,Architectural and Civil Drafters,96810,54290,51640,26.10,24.83,173010
173012,Electrical and Electronics Drafters,26750,63390,59970,30.48,28.83,173010
173013,Mechanical Drafters,63630,57480,54480,27.63,26.19,173010
173019,"Drafters, All Other",15530,54410,50470,26.16,24.26,173010
173021,Aerospace Engineering and Operations Technicians,11970,71070,68020,34.17,32.70,173020
173022,Civil Engineering Technicians,72150,52120,49980,25.06,24.03,173020
173023,Electrical and Electronics Engineering Technicians,134870,62950,62190,30.27,29.90,173020
173024,Electro-Mechanical Technicians,13710,57860,55610,27.82,26.74,173020
